id,name,proposed name,2.0,1.45,xml,POG,PAG,comment
278,L1_IsoTau40er_ETM80cer,,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-48
279,L1_IsoTau40er_ETM85cer,,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-48
280,L1_IsoTau40er_ETM90cer,,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-48
281,L1_IsoTau40er_ETM95cer,,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-48
282,L1_IsoTau40er_ETM100cer,L1_SingleIsoTau40er_ETM100,1,1,x,PHY,HIG,tau + MET:
283,L1_IsoTau40er_ETMHF80c,,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-48
284,L1_IsoTau40er_ETMHF90c,,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-48
285,L1_Mu22er2p1_IsoTau40er2p1,L1_SingleMu22er_IsoTau40er,1,1,x,PHY,HIG,tau + MET:  monitoring: must be unprescaled
286,L1_QuadJet36er3p0_IsoTau52er2p1,L1_QuadJetC36_IsoTau52er,0,1,x,PHY,HIG,tau + MET:  monitoring: prescaled
287,L1_ETM80cer_Jet60_dPhi_Min0p4,L1_ETM80_Jet60_dPhi_Min0p4,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-87
288,L1_ETM90cer_Jet60_dPhi_Min0p4,L1_ETM90_Jet60_dPhi_Min0p4,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-87
289,L1_ETM100cer_Jet60_dPhi_Min0p4,L1_ETM100_Jet60_dPhi_Min0p4,1,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-87
290,L1_ETM110cer_Jet60_dPhi_Min0p4,L1_ETM110_Jet60_dPhi_Min0p4,1,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-87
291,L1_DoubleJet60er3p0_ETM70cer,L1_DoubleJetC60_ETM70,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-87
292,L1_DoubleJet60er3p0_ETM80cer,L1_DoubleJetC60_ETM80,0,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-87
293,L1_DoubleJet60er3p0_ETM90cer,L1_DoubleJetC60_ETM90,1,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-87
294,L1_DoubleJet60er3p0_ETM100cer,L1_DoubleJetC60_ETM100,1,1,x,PHY,HIG,https://its.cern.ch/jira/browse/CMSLITDPG-87
295,L1_DoubleEG_Iso23_10,,1,1,x,PHY,HIG,"HZZ, HWW"
296,L1_DoubleEG_Iso24_10,,1,1,x,PHY,HIG,"HZZ, HWW"
297,L1_TripleEG_Iso20_10_5,,1,1,x,PHY,HIG,"HZZ, HWW"
298,L1_DoubleJet_90_30_DoubleJet30_Mass_Min620,L1_DoubleJet_90_30_Mj30j30_620,0,1,x,PHY,HIG,Higgs VBF H to tau tau:
299,L1_DoubleJet_100_30_DoubleJet30_Mass_Min620,L1_DoubleJet_100_30_Mj30j30_620,0,1,x,PHY,HIG,Higgs VBF H to tau tau:
300,L1_DoubleJet_100_35_DoubleJet35_Mass_Min620,L1_DoubleJet_100_35_Mj35j35_620,1,1,x,PHY,HIG,Higgs VBF H to tau tau:
